"LBCD01LA.Code.or.Value","LBCD01LA.Value.Description","LBCD01LA.Count","LBCD01LA.Cumulative","LBCD01LA.Skip.to.Item"
"0.187 to 17.3","Range of Values",246,246,NA
".","Missing",1,247,NA
