"WTSAU2YR.Code.or.Value","WTSAU2YR.Value.Description","WTSAU2YR.Count","WTSAU2YR.Cumulative","WTSAU2YR.Skip.to.Item"
"3358.532488693230 to 411457.268689780000","Range of Values",1914,1914,NA
".","Missing",132,2046,NA
