"LBDBPBSI.Code.or.Value","LBDBPBSI.Value.Description","LBDBPBSI.Count","LBDBPBSI.Cumulative","LBDBPBSI.Skip.to.Item"
"0.014 to 3.328","Range of Values",8349,8349,NA
"0.01","Below Limit of Detection",24,8373,NA
".","Missing",806,9179,NA
