"VTQ251A.Code.or.Value","VTQ251A.Value.Description","VTQ251A.Count","VTQ251A.Cumulative","VTQ251A.Skip.to.Item"
"1","Yes",83,83,""
"2","No",3017,3100,"VTQ261A"
"7","Refused",0,3100,"VTQ261A"
"9","Don't know",0,3100,"VTQ261A"
".","Missing",389,3489,""
