"WBXP081.Code.or.Value","WBXP081.Value.Description","WBXP081.Count","WBXP081.Cumulative","WBXP081.Skip.to.Item"
"-175.7564 to 176.1403","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
