"LBXHA.Code.or.Value","LBXHA.Value.Description","LBXHA.Count","LBXHA.Cumulative","LBXHA.Skip.to.Item"
"1","Positive",3356,3356,NA
"2","Negative",5245,8601,NA
".","Missing",997,9598,NA
