"PFD069R.Code.or.Value","PFD069R.Value.Description","PFD069R.Count","PFD069R.Cumulative","PFD069R.Skip.to.Item"
"0 to 30660","Range of Values",365,365,NA
"66666","Since birth",20,385,NA
"77777","Refused",1,386,NA
"99999","Don't know",16,402,NA
".","Missing",10068,10470,NA
