"CIQD055.Code.or.Value","CIQD055.Value.Description","CIQD055.Count","CIQD055.Cumulative","CIQD055.Skip.to.Item"
"72 to 180","Range of Values",4,4,NA
"777","Refuse",0,4,NA
"999","Don't know",0,4,NA
".","Missing",846,850,NA
