"AUXLR242.Code.or.Value","AUXLR242.Value.Description","AUXLR242.Count","AUXLR242.Cumulative","AUXLR242.Skip.to.Item"
"-24 to 61","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
