"BPQ040A.Code.or.Value","BPQ040A.Value.Description","BPQ040A.Count","BPQ040A.Cumulative","BPQ040A.Skip.to.Item"
"1","Yes",1851,1851,""
"2","No",238,2089,"BPQ080"
"7","Refused",0,2089,"BPQ080"
"9","Don't know",1,2090,"BPQ080"
".","Missing",4237,6327,""
