"LBDGTCSI.Code.or.Value","LBDGTCSI.Value.Description","LBDGTCSI.Count","LBDGTCSI.Cumulative","LBDGTCSI.Skip.to.Item"
"0.432 to 47.488","Range of Values",8307,8307,NA
"0.192","Fill Value of Limit of Detection",1,8308,NA
".","Missing",954,9262,NA
