"DXDTRBMC.Code.or.Value","DXDTRBMC.Value.Description","DXDTRBMC.Count","DXDTRBMC.Cumulative","DXDTRBMC.Skip.to.Item"
"138.84 to 1313.21","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
