"LBXSPH.Code.or.Value","LBXSPH.Value.Description","LBXSPH.Count","LBXSPH.Cumulative","LBXSPH.Skip.to.Item"
"1.8 to 10.9","Range of Values",6552,6552,NA
".","Missing",427,6979,NA
