"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",21761,21761,NA
"2","Monday",10325,32086,NA
"3","Tuesday",13303,45389,NA
"4","Wednesday",12523,57912,NA
"5","Thursday",11199,69111,NA
"6","Friday",33221,102332,NA
"7","Saturday",29062,131394,NA
".","Missing",0,131394,NA
