"DR2DBIH.Code.or.Value","DR2DBIH.Value.Description","DR2DBIH.Count","DR2DBIH.Cumulative","DR2DBIH.Skip.to.Item"
"-28 to 141","Range of Values",98641,98641,NA
".","Missing",2039,100680,NA
