"LBXRST.Code.or.Value","LBXRST.Value.Description","LBXRST.Count","LBXRST.Cumulative","LBXRST.Skip.to.Item"
"0.35 to 15","Range of Values",4360,4360,NA
".","Missing",4472,8832,NA
