"LBCBR11.Code.or.Value","LBCBR11.Value.Description","LBCBR11.Count","LBCBR11.Cumulative","LBCBR11.Skip.to.Item"
"17.3 to 133.8","Range of Values",264,264,NA
".","Missing",0,264,NA
