"DSQIPROT.Code.or.Value","DSQIPROT.Value.Description","DSQIPROT.Count","DSQIPROT.Cumulative","DSQIPROT.Skip.to.Item"
"0.02 to 60","Range of Values",275,275,NA
".","Missing",9284,9559,NA
