"OPDDIRP.Code.or.Value","OPDDIRP.Value.Description","OPDDIRP.Count","OPDDIRP.Cumulative","OPDDIRP.Skip.to.Item"
"0","No",2232,2232,NA
"1","Yes",105,2337,NA
".","Missing",597,2934,NA
