"AUXLR174.Code.or.Value","AUXLR174.Value.Description","AUXLR174.Count","AUXLR174.Cumulative","AUXLR174.Skip.to.Item"
"-9 to 57","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
