"WTSBA06.Code.or.Value","WTSBA06.Value.Description","WTSBA06.Count","WTSBA06.Cumulative","WTSBA06.Skip.to.Item"
"0 to 356953.17018","Range of Values",946,946,NA
".","Missing",65,1011,NA
