"AUXLR207.Code.or.Value","AUXLR207.Value.Description","AUXLR207.Count","AUXLR207.Cumulative","AUXLR207.Skip.to.Item"
"-33 to 116","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
