"LBXSZN.Code.or.Value","LBXSZN.Value.Description","LBXSZN.Count","LBXSZN.Cumulative","LBXSZN.Skip.to.Item"
"44.3 to 232.5","Range of Values",2329,2329,NA
".","Missing",265,2594,NA
