"AUDTYR64.Code.or.Value","AUDTYR64.Value.Description","AUDTYR64.Count","AUDTYR64.Cumulative","AUDTYR64.Skip.to.Item"
"0 to 1.63","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
