"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"7005.984297 to 874638.01159","Range of Values",2747,2747,NA
"0","No Lab Result",56,2803,NA
".","Missing",0,2803,NA
