"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.07 to 84.2","Range of Values",2465,2465,NA
".","Missing",82,2547,NA
