"LBXSTP.Code.or.Value","LBXSTP.Value.Description","LBXSTP.Count","LBXSTP.Cumulative","LBXSTP.Skip.to.Item"
"4.7 to 10.9","Range of Values",6422,6422,NA
".","Missing",558,6980,NA
