"AUQ260.Code.or.Value","AUQ260.Value.Description","AUQ260.Count","AUQ260.Cumulative","AUQ260.Skip.to.Item"
"1","Yes",70,70,NA
"2","No",293,363,NA
"7","Refused",0,363,NA
"9","Don't know",2,365,NA
".","Missing",9457,9822,NA
