"VTQ040.Code.or.Value","VTQ040.Value.Description","VTQ040.Count","VTQ040.Cumulative","VTQ040.Skip.to.Item"
"1","Yes",81,81,NA
"2","No",556,637,NA
"7","Refused",0,637,NA
"9","Don't know",13,650,NA
".","Missing",201,851,NA
