"WBXA041.Code.or.Value","WBXA041.Value.Description","WBXA041.Count","WBXA041.Cumulative","WBXA041.Skip.to.Item"
"-5.7494 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
