"LBCBHCLA.Code.or.Value","LBCBHCLA.Value.Description","LBCBHCLA.Count","LBCBHCLA.Cumulative","LBCBHCLA.Skip.to.Item"
"0.5162 to 853.4","Range of Values",281,281,NA
".","Missing",3,284,NA
