"WTSCI36.Code.or.Value","WTSCI36.Value.Description","WTSCI36.Count","WTSCI36.Cumulative","WTSCI36.Skip.to.Item"
"0 to 466148.25754","Range of Values",727,727,NA
".","Missing",51,778,NA
