"URDDHBLC.Code.or.Value","URDDHBLC.Value.Description","URDDHBLC.Count","URDDHBLC.Cumulative","URDDHBLC.Skip.to.Item"
"0","At or above the detection limit",2116,2116,NA
"1","Below lower detection limit",0,2116,NA
".","Missing",346,2462,NA
