"DXXPT1Y.Code.or.Value","DXXPT1Y.Value.Description","DXXPT1Y.Count","DXXPT1Y.Cumulative","DXXPT1Y.Skip.to.Item"
"118.2 to 313.5","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
