"WHD110.Code.or.Value","WHD110.Value.Description","WHD110.Count","WHD110.Cumulative","WHD110.Skip.to.Item"
"80 to 700","Range of Values",3991,3991,NA
"7777","Refused",2,3993,NA
"9999","Don't know",144,4137,NA
".","Missing",2190,6327,NA
