"SXQ130.Code.or.Value","SXQ130.Value.Description","SXQ130.Count","SXQ130.Cumulative","SXQ130.Skip.to.Item"
"1 to 700","Range of Values",173,173,NA
"2000","2000 or more",1,174,NA
"77777","Refused",0,174,NA
"99999","Don't know",0,174,NA
".","Missing",5128,5302,NA
