"VTQ271A.Code.or.Value","VTQ271A.Value.Description","VTQ271A.Count","VTQ271A.Cumulative","VTQ271A.Skip.to.Item"
"1","Yes",2343,2343,NA
"2","No",385,2728,NA
"7","Refused",0,2728,NA
"9","Don't know",2,2730,NA
".","Missing",717,3447,NA
