"BIXS159K.Code.or.Value","BIXS159K.Value.Description","BIXS159K.Count","BIXS159K.Cumulative","BIXS159K.Skip.to.Item"
"153.22 to 868.49","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
