"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"1852.3028731 to 379540.72986","Range of Values",5370,5370,NA
".","Missing",0,5370,NA
