"WTMREP23.Code.or.Value","WTMREP23.Value.Description","WTMREP23.Count","WTMREP23.Cumulative","WTMREP23.Skip.to.Item"
"0 to 261818.79012","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
