"DXXPT47Y.Code.or.Value","DXXPT47Y.Value.Description","DXXPT47Y.Count","DXXPT47Y.Cumulative","DXXPT47Y.Skip.to.Item"
"85.8 to 322.4","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
