"VTQ260A.Code.or.Value","VTQ260A.Value.Description","VTQ260A.Count","VTQ260A.Cumulative","VTQ260A.Skip.to.Item"
"1","Yes",146,146,NA
"2","No",2442,2588,NA
"7","Refused",0,2588,NA
"9","Don't know",1,2589,NA
".","Missing",705,3294,NA
