"RFXT071.Code.or.Value","RFXT071.Value.Description","RFXT071.Count","RFXT071.Cumulative","RFXT071.Skip.to.Item"
"610 to 619","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
