"URD2MHLC.Code.or.Value","URD2MHLC.Value.Description","URD2MHLC.Count","URD2MHLC.Cumulative","URD2MHLC.Skip.to.Item"
"0","At or above the detection limit",2352,2352,NA
"1","Below lower detection limit",114,2466,NA
".","Missing",85,2551,NA
