"LBDP3.Code.or.Value","LBDP3.Value.Description","LBDP3.Count","LBDP3.Cumulative","LBDP3.Skip.to.Item"
"4 to 95","Range of Values",1380,1380,NA
".","Missing",221,1601,NA
