"WTSCI4YR.Code.or.Value","WTSCI4YR.Value.Description","WTSCI4YR.Count","WTSCI4YR.Cumulative","WTSCI4YR.Skip.to.Item"
"1820.5187288 to 230304.53472","Range of Values",727,727,NA
".","Missing",51,778,NA
