"URDGAMLC.Code.or.Value","URDGAMLC.Value.Description","URDGAMLC.Count","URDGAMLC.Cumulative","URDGAMLC.Skip.to.Item"
"0","At or above the detection limit",1197,1197,NA
"1","Below lower detection limit",1818,3015,NA
".","Missing",264,3279,NA
