"MSDCWUA.Code.or.Value","MSDCWUA.Value.Description","MSDCWUA.Count","MSDCWUA.Cumulative","MSDCWUA.Skip.to.Item"
"1","Yes",2027,2027,NA
"2","No",21,2048,NA
".","Missing",245,2293,NA
