"DRD350H.Code.or.Value","DRD350H.Value.Description","DRD350H.Count","DRD350H.Cumulative","DRD350H.Skip.to.Item"
"1","Yes",1075,1075,""
"2","No",144,1219,"DRD350I"
".","Missing",8424,9643,""
