"RFXC033.Code.or.Value","RFXC033.Value.Description","RFXC033.Count","RFXC033.Cumulative","RFXC033.Skip.to.Item"
"-6.49 to 3.48","Range of Values",51067,51067,NA
".","Missing",9,51076,NA
