"DBQ073D.Code.or.Value","DBQ073D.Value.Description","DBQ073D.Count","DBQ073D.Cumulative","DBQ073D.Skip.to.Item"
"13","fat-free, skim or nonfat milk, or",10,10,NA
".","Missing",10527,10537,NA
