"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"117.2 to 316","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
