"URXMB1.Code.or.Value","URXMB1.Value.Description","URXMB1.Count","URXMB1.Cumulative","URXMB1.Skip.to.Item"
"0.495 to 2.22","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
