"DSQTCHL.Code.or.Value","DSQTCHL.Value.Description","DSQTCHL.Count","DSQTCHL.Cumulative","DSQTCHL.Skip.to.Item"
"0.001 to 1500","Range of Values",751,751,NA
".","Missing",9220,9971,NA
