"DR2IP183.Code.or.Value","DR2IP183.Value.Description","DR2IP183.Count","DR2IP183.Cumulative","DR2IP183.Skip.to.Item"
"0 to 10.896","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
