"LBD101LC.Code.or.Value","LBD101LC.Value.Description","LBD101LC.Count","LBD101LC.Cumulative","LBD101LC.Skip.to.Item"
"0","At or above the detection limit",49,49,NA
"1","Below lower detection limit",198,247,NA
".","Missing",0,247,NA
