"AUXLR284.Code.or.Value","AUXLR284.Value.Description","AUXLR284.Count","AUXLR284.Cumulative","AUXLR284.Skip.to.Item"
"-23 to 68","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
