"DXXLLFAT.Code.or.Value","DXXLLFAT.Value.Description","DXXLLFAT.Count","DXXLLFAT.Cumulative","DXXLLFAT.Skip.to.Item"
"561.1 to 21616.5","Range of Values",4651,4651,NA
".","Missing",1041,5692,NA
