"LBDSF2LC.Code.or.Value","LBDSF2LC.Value.Description","LBDSF2LC.Count","LBDSF2LC.Cumulative","LBDSF2LC.Skip.to.Item"
"0","At or above the detection limit",2608,2608,NA
"1","Below lower detection limit",99,2707,NA
".","Missing",415,3122,NA
