"TYXP199.Code.or.Value","TYXP199.Value.Description","TYXP199.Count","TYXP199.Cumulative","TYXP199.Skip.to.Item"
"-298 to 109","Range of Values",427,427,NA
".","Missing",5158,5585,NA
