"TYXA165.Code.or.Value","TYXA165.Value.Description","TYXA165.Count","TYXA165.Cumulative","TYXA165.Skip.to.Item"
"0.09 to 6.653","Range of Values",4262,4262,NA
".","Missing",4207,8469,NA
