"DR2TFOLA.Code.or.Value","DR2TFOLA.Value.Description","DR2TFOLA.Count","DR2TFOLA.Cumulative","DR2TFOLA.Skip.to.Item"
"0 to 3388","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
