"URDMADLC.Code.or.Value","URDMADLC.Value.Description","URDMADLC.Count","URDMADLC.Cumulative","URDMADLC.Skip.to.Item"
"0","At or above the detection limit",2971,2971,NA
"1","Below lower detection limit",37,3008,NA
".","Missing",271,3279,NA
