"OPDDHOLL.Code.or.Value","OPDDHOLL.Value.Description","OPDDHOLL.Count","OPDDHOLL.Cumulative","OPDDHOLL.Skip.to.Item"
"0","No",3213,3213,NA
"1","Questionable",6,3219,NA
"2","Yes",8,3227,NA
".","Missing",636,3863,NA
